#SampleID	Organism	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100	PC101	PC102	PC103	PC104	PC105	PC106	PC107	PC108	PC109	PC110	PC111	PC112	PC113	PC114	PC115	PC116	PC117	PC118	PC119	PC120	PC121	PC122	PC123	PC124	PC125	PC126	PC127	PC128	PC129	PC130	PC131	PC132	PC133	PC134	PC135	PC136	PC137	PC138	PC139	PC140	PC141	PC142	PC143	PC144	PC145	PC146	PC147	PC148	PC149	PC150	PC151	PC152	PC153	PC154	PC155	PC156	PC157	PC158	PC159	PC160	PC161	PC162	PC163	PC164	PC165	PC166	PC167	PC168	PC169	PC170	PC171	PC172	PC173	PC174	PC175	PC176	PC177	PC178	PC179	PC180	PC181	PC182	PC183	PC184	PC185	PC186	PC187	PC188	PC189	PC190	PC191	PC192	PC193	PC194	PC195	PC196	PC197
MilCar9_4D_GF8_01_16197.mzXML	CCA	2.844973296	-6.688548115	2.013497495	-0.53320015	4.97423967	1.082966071	0.891385587	0.723697771	1.007868463	1.647987475	-0.94835171	0.83729029	0.707484138	-0.191258168	-0.184366257	0.634838354	0.311255788	-0.103852534	-0.227719253	0.662089591	-0.158737037	-0.417850832	-0.459794056	0.825392608	-0.334720656	-0.367996032	0.933721895	-0.407120862	-0.148068455	0.66613954	0.9702904	-0.680492444	0.565794567	1.171223926	-0.677315856	-0.15209242	-0.024128326	-0.286603146	-0.519628228	0.558780438	0.187588206	0.995494929	0.098107064	0.396453916	-1.014931827	0.136184297	1.451077962	-0.428418169	-0.774295921	-1.134286898	-0.171573662	0.881551408	-0.62037365	0.411854342	-0.258835433	0.380402841	-0.755011001	0.071700503	0.023246419	-0.410513506	-0.29426797	0.137718807	-0.005225796	0.427990522	0.122687302	-0.757736464	-0.496332544	0.163218754	-0.421804667	0.898446404	0.799189524	0.177709615	-0.697835928	1.23541982	0.097546263	-0.111865985	0.627698604	-0.683494939	-0.492499431	1.193145698	-0.00524931	-0.461535411	0.655919437	0.070002004	0.515019223	-0.026316653	-0.662285381	-0.139615435	-0.374543765	-0.095571708	0.219939317	-0.848542126	0.389228667	-0.349347706	0.373930135	-0.606328349	0.219571838	0.097102398	-0.069402041	0.703549266	-0.457566765	0.088556158	0.334244385	-0.024207886	1.455339443	0.86016331	-0.582199508	0.882664977	0.102533001	0.415341806	-0.126490857	-0.092948357	-0.352732427	0.404918561	-0.333787966	-0.56446967	0.565479592	0.056292262	-0.189160149	-0.148956523	0.017662205	0.30222802	-0.281586255	0.10081486	0.095895033	0.435734846	0.08501881	0.229676644	0.08444735	0.226474121	-0.389698167	0.333554922	0.445046098	-0.169668944	0.237212061	-0.030602075	0.198002298	-0.110503007	0.364775163	0.155521982	-0.081678681	0.017557399	0.026559573	0.184993305	-0.043383062	0.030028751	0.021748587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flint_Mos3_5D_RB7_01_15904.mzXML	CCA	3.683544546	-6.180337688	2.214119944	1.222096054	0.318301206	-3.264020996	-0.127332094	0.244392108	-1.171784874	-0.069218541	0.101417475	0.48327881	-0.517256438	0.071706007	0.013348583	0.95131819	0.342597967	0.205304964	-0.072935709	0.415678381	-0.543791911	-0.180644082	0.540328905	-1.0112182	-0.571583485	-0.454524157	-1.054534121	0.267927142	0.93726692	-0.146980178	0.752831281	-1.686765724	-1.846483995	-1.500327198	0.80983883	-0.781828847	-0.938071418	0.109139777	-0.979343248	-0.97855375	0.299319185	-0.91637136	0.004464816	0.546783053	-0.068438013	0.522224737	0.540680853	1.402956122	-0.429371725	0.698501438	0.337892582	0.321243783	0.025457203	0.278006381	-0.325911215	0.996169726	-0.015755926	-0.205407404	0.555778356	-0.589299232	1.274666223	-1.071533111	0.219029109	-1.360077282	-0.957333732	0.536081641	-0.60599083	0.343046596	-0.751255601	0.008392305	0.727739038	0.29399874	0.308819127	1.127792548	-1.305886238	-0.069118077	-0.111621539	0.32206694	0.607459536	-0.599523301	-0.504268565	0.012061657	0.285368767	-0.062118022	-0.223007646	-0.723999177	-0.150050376	-0.257286514	0.25501878	0.321885635	0.247005806	-0.254386447	0.295150576	-0.988828741	0.906598754	0.066695592	0.006287864	0.354513836	0.987707891	0.165290553	-0.636192208	1.173757694	0.247074632	-0.238871659	-0.816324367	0.720906824	-0.168296401	0.077771946	-0.157426926	0.135316057	0.065193487	0.186960803	-0.071941168	-0.442951333	0.092980287	-0.763434359	-0.338851334	-0.242184346	-0.088000587	0.174336781	-0.003519418	0.372845612	-0.151915808	0.296470662	0.43752112	-0.252391593	-0.085930729	0.002804273	-0.025188195	0.258933772	0.13300229	-0.005881748	-0.122489146	-0.127979111	0.075843817	0.365136795	-0.231244479	0.023375901	-0.113477609	-0.236616793	-0.0419338	0.108500417	-0.0202639	0.184092977	-0.007101457	0.080983833	-0.006913498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flint_Mos5_1B_RC3_01_15921.mzXML	CCA	2.52665483	-7.111790199	2.370216755	1.334262228	1.282542157	2.96898821	0.997780262	4.052861074	-0.498332959	0.375264175	-0.686616107	1.06157032	-0.858661122	-0.248828682	0.968071218	0.76352822	0.128627901	-0.98909439	1.493354183	-0.6547917	1.287554461	-0.834745204	0.52398729	-0.915457803	0.951772439	1.368083215	0.522838142	1.190856945	0.730139847	-0.145596272	1.762829943	0.631163549	-0.337885233	1.584401598	1.915404411	0.677702961	-0.635058337	-1.278816095	1.517328271	0.108749084	0.287381218	-0.67938344	-0.609298164	0.004741975	0.210947924	-0.50681206	0.598313912	-1.460356828	-0.112177704	0.137453536	-1.140116161	0.409204218	-0.109121837	0.498554675	0.575613498	0.702414866	-1.748336503	-0.390568803	0.770033515	-0.366513413	0.113975517	-0.480682976	0.40620941	0.507729963	0.358862721	0.451813164	-0.762976957	-0.766593256	-0.418072486	-0.283185807	-0.221302911	0.234799083	0.622489898	-0.362614413	0.31791202	-0.780631625	0.133468724	-0.036084691	-0.708258647	0.361654276	-0.295835356	0.189711113	0.214952389	0.434070964	-1.026724432	0.278417763	-0.243579463	-0.217827755	-0.380383981	0.552366029	-0.095073605	0.195261816	0.127225134	0.629917032	0.06309183	0.78297603	0.416463398	0.010969763	0.406485324	-0.042264209	0.378147343	0.154783277	0.061083763	-0.368050303	-0.117718215	-0.331533262	0.184848192	-0.272019287	-0.565579577	-0.243558981	-0.220246325	0.302075468	0.672231848	-0.205516536	0.264744607	0.243423576	-0.351314923	-0.201704929	-0.100101128	0.32257026	-0.443510827	0.246548528	-0.113333907	-0.278132141	0.322362567	0.135790277	0.139286181	-0.221070291	-0.067703522	-0.402267726	0.280006906	-0.107652077	0.237277358	0.167442451	-0.184749523	-0.109919627	-0.191732031	0.265195249	-0.138470334	-0.051051561	0.115483908	-0.088368277	-0.118464626	-0.027102648	-0.091373926	0.01522295	0.014447011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MalInv_3C_GC8_01_16123.mzXML	CCA	2.735287444	-6.840314672	2.027173614	-0.401005434	4.973045245	0.908558899	0.751428132	0.544053738	0.666029007	2.475324902	-0.815293915	1.038995088	0.591615929	1.178225532	-0.392594907	-0.992654786	-0.298431833	-0.955453158	-0.81315865	-0.199711644	-0.374886426	-0.76674259	-1.582828882	-0.527962921	0.474420202	0.982837593	0.263819091	0.294507375	-0.774641256	0.555329829	0.969184596	-0.625402741	0.296777916	-0.091219416	-0.024371049	-0.668235954	0.927667065	0.206663409	0.213364489	-0.691045133	0.057544797	-0.016639829	-0.008154243	-0.975612397	-0.482664182	0.197720316	-0.449802197	0.186264942	-1.172770338	-0.04239118	0.217760239	-0.568343002	0.702142891	-0.016052722	0.250785727	-0.826635375	1.222382038	0.050785821	-0.339629213	1.049095243	0.075289821	-0.084281035	-0.181176356	0.043332149	0.707819969	-0.416863424	-0.622382355	-0.376852472	0.314279933	0.674866859	-0.029858291	0.730138043	0.458100717	-0.319883781	-0.41438051	-0.181531788	-1.135722657	0.76916144	0.393017539	0.519790979	-0.525108507	0.778750551	-0.01735103	0.24745785	0.325449143	-0.580440151	0.977219518	-0.558504617	0.379111159	-0.079817336	-0.03957097	-0.139234231	-0.194995621	-0.100324205	0.486001485	-0.605930264	-1.041927808	0.217384318	0.623147823	0.05051557	0.303085927	-0.579441658	-0.282712576	-0.232978729	-0.963730665	-0.512561431	0.060094053	0.083006243	0.640422936	-0.068053776	-0.789180572	0.239147161	0.427706641	-0.323240724	-0.445298143	0.166993786	-0.280584824	-0.052337514	-0.658848363	0.083715386	-0.112863887	0.082405272	-0.046085494	0.254335554	0.163032195	-0.164773548	-0.498071771	0.133689163	-0.534634875	0.024746324	-0.148467223	0.107490399	-0.206550167	0.603756601	-0.077517038	0.155270676	0.205940178	0.079463829	-0.084424743	-0.051139098	0.051271752	0.089883064	0.127631086	-0.147460067	0.081653156	-0.039804466	-0.017370159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MalInv_2A_GC1_01_16109.mzXML	CCA	3.954100796	-7.72599423	3.648729713	3.236391947	-2.147457481	2.129647003	-4.240369758	-1.782621716	0.059744247	-1.206930398	1.848954514	1.827249223	0.437867986	0.871649866	1.517554391	0.667646975	-0.581959865	-1.164493453	-1.637068755	0.608394458	-0.043289311	0.219457294	0.09860367	-1.149603256	0.043735047	0.75340248	2.262894621	-0.452646687	1.140146603	1.591715495	1.972501611	-0.08040417	1.016014905	-0.581174862	0.340106801	-0.047418808	1.472086243	-0.826630583	-0.648716092	-0.275310477	0.77309981	-0.427365205	-1.305000223	0.075787974	1.029735772	1.659361383	-0.393352833	-0.409330272	1.039742186	-0.127009106	-0.259846925	0.910539199	-0.106921437	0.320154408	0.704429949	0.935489544	1.38776794	-0.033117004	-0.260509455	-0.316153276	-0.324337527	-0.511418776	-0.211498283	-0.063736326	-0.038941164	-0.456306541	-0.177743896	1.01639962	-0.710802023	-1.62109467	1.435586475	1.354459962	-0.126411849	-0.151497203	0.736925185	-0.24896291	-0.650863178	-0.98895779	0.359896506	-0.017212855	0.798918098	0.422898011	-0.494066193	-0.186264805	0.035665309	-0.121549424	-0.522123005	-0.201650282	-0.489042836	0.204310837	-1.018788596	-0.315781751	0.084257523	-1.000427537	-0.32692898	0.201301756	-0.229619137	0.013347353	-0.382485709	0.3664746	0.114104611	0.192136683	-0.39763946	0.046074119	0.329273496	0.126308673	-0.007151937	0.018656453	0.50155471	-0.085232785	-0.514984	-0.033028511	-0.116548339	-0.436203307	-0.421308263	0.922175999	0.359718912	0.068438092	-0.253363944	0.213740576	-0.102944986	-0.161003843	0.179449294	0.021334404	-0.086746348	0.075364188	-0.127032515	-0.10199606	-0.178820138	0.180300394	0.055790997	-0.134987605	0.193582552	-0.01385219	-0.205637195	-0.288785287	-0.162051358	0.162139941	-0.027252397	0.123133064	-0.096184816	-0.041745293	-0.002718962	-0.052721914	-0.056258575	0.0062409	0.00632727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MalInv_4C_GD1_01_16135.mzXML	CCA	3.998496586	-6.759927273	2.876390932	2.16298064	-0.663160287	-1.588701986	2.092557047	-0.236692471	-0.816324944	-0.492399414	-1.515719904	-0.941470969	0.613123231	3.353641342	-0.153152067	1.177811719	0.151468739	-0.439925463	-1.343194278	0.740133586	1.102626185	-0.610036901	-1.056024729	0.184589793	-0.053405068	0.320162769	-1.668390034	-1.435269281	-1.497873397	-0.971203316	-1.363335381	1.951217791	-1.191217334	-0.15090168	-1.325381971	-1.001945381	-0.129121251	0.464429521	0.36015422	-0.041975202	1.080259514	-0.060681204	-0.724433304	0.130088329	-0.069740736	1.06025356	-0.770036095	-0.324790524	-0.272218081	-0.041856262	0.369528907	1.558850396	1.283469481	0.940613614	0.419863837	0.577261086	-0.964042096	-0.645801634	-0.441323304	-0.554729634	-0.083358545	-1.148527154	0.92369886	-0.703882366	-0.368760577	-0.062265478	-0.000392057	1.030613364	0.338112246	-0.016107613	-0.795215517	-0.327527762	0.145251774	-0.166952426	0.833725366	-0.158874203	-0.062654359	-0.44182677	0.689602165	1.641549823	0.452718712	-1.110271353	-0.073643164	-0.308031788	-0.791683413	0.238476577	-0.111871622	0.228953908	0.107409545	-0.114503838	0.29061177	0.176207993	0.1725997	-0.468582119	-0.417651446	0.353955484	0.120322968	0.507056096	-0.451126234	0.361181355	0.669648534	0.114160088	0.050829959	0.283419897	-0.188311615	-0.759916626	0.39668637	-0.50120304	0.685135495	-0.324994528	-0.631991991	-0.238125104	-0.083176291	0.038249673	0.195130636	0.108753957	0.055889865	-0.051675773	0.14772117	0.381622909	0.515699246	0.016661149	-0.050921199	0.007966161	0.381777712	-0.357456572	-0.119427347	0.129751812	0.311871287	0.121214219	-0.040384376	-0.00915756	-0.053666361	-0.037135381	-0.024016176	-0.054335223	-0.052479408	-0.296121792	0.216272	-0.07524363	0.122192345	-0.092497014	-0.049289232	0.065277937	-0.144666707	-0.035378577	0.016697202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MalInv_3E_GC10_01_16129.mzXML	CCA	3.502240197	-6.663962034	2.023311028	0.719231351	3.007065917	-1.204515996	0.535005835	0.994319395	0.978505919	-0.739161322	0.648524217	0.175282538	-0.496738613	1.262775347	0.266102145	2.027567277	0.617746349	0.698362921	0.518587658	0.399985814	0.525159708	0.973871435	-1.785498889	0.496762407	0.378118356	0.660660768	-0.011451387	-0.122473913	0.468514408	-1.592343962	0.820026534	0.387026487	-0.960824184	-0.365801087	1.297232186	-0.345853155	1.208441782	0.6733212	0.687150105	0.328752776	-0.917389653	0.230863615	0.631918998	1.027814361	-2.060914552	-0.583533974	1.039499762	0.280810022	0.876262092	-0.065683208	-0.734589301	-1.297241098	0.069062761	-1.207959437	-0.915453073	-0.288796619	0.752314444	-1.391738186	-0.298397847	0.433118399	-0.720188765	-0.089447098	0.284582246	-0.840479909	0.303296894	0.305305927	0.263536467	0.082240139	-0.573359205	-0.254575334	0.9926647	0.555272946	0.128656643	-0.238383952	-0.227802468	-0.97443176	-0.44233088	-0.463202248	-0.714919383	0.589512378	1.322564916	-0.543108739	0.207917239	0.123205531	0.256702583	0.223129645	0.034242449	0.764037464	-0.596285018	0.362474858	0.587245815	0.223990763	-0.404436917	0.088576593	-0.268994083	-0.517323856	0.122830946	-0.778653158	-0.471703982	-0.723028213	-0.417845496	0.186126147	0.775515063	-0.254778089	-0.164342537	-0.037960948	-0.352113311	-0.341129046	0.348134967	-0.158874336	0.567628798	0.166055744	-0.419814871	0.332325019	-0.922481922	0.082584524	0.311732309	-0.497615778	0.703442664	-0.03924286	-0.007897397	-0.716388498	0.310274583	-0.090973844	0.252114811	-0.095993822	0.071972213	-0.104702469	0.325895527	-0.382514359	0.134799848	-0.16451571	-0.174324374	-0.126459968	-0.084303088	0.137245747	-0.3562183	0.061897504	-0.259174144	0.106252171	-0.020814247	0.081441351	0.000668867	-0.075707136	0.01500506	-0.061212719	-0.000105408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MalMos_3C_GE4_01_16165.mzXML	CCA	2.246013035	-7.284397452	3.471690648	1.314913221	2.94582153	4.516976525	3.271846626	-1.118841118	-1.870418507	-1.551469837	-0.966973775	0.083752185	3.146828946	1.092912837	0.049061109	0.630816896	-0.497056965	1.88140898	1.415313381	-0.399678656	0.613118303	1.077342507	0.457995933	0.162854378	-0.494296571	-0.911159929	0.191549141	0.478787374	1.471875377	-1.042991839	0.405542833	-0.886405095	-0.161885468	0.089605836	0.407370456	0.188430895	0.012313994	0.461090435	-1.1328512	0.063014608	0.189524498	-1.75316577	-1.120913126	-0.260635323	0.262141859	-0.478744862	-0.695565745	-0.294855624	-0.120013428	-1.111377976	0.469089695	0.746412301	-0.199525867	0.238349023	-0.724215877	-0.93807561	1.070543604	0.110924799	0.411378711	0.913240286	0.764794942	-0.744576938	0.867747276	-0.057916798	-1.045607157	0.654625615	0.919989772	-0.040620289	1.034428108	-0.561104475	-0.420299272	0.272707641	-0.479797718	-0.452913167	0.000561055	0.677829065	-0.136130044	-0.083559061	0.144137676	-0.127220957	-0.093943156	0.202434434	-1.74773998	0.044377793	0.004523085	-0.141487712	-0.24496369	-0.043465034	-0.145669604	-1.035465656	-0.148779557	0.451645475	-0.573063624	0.243867045	-0.195675969	0.227260155	0.164370404	-0.094324869	-0.423359924	0.246446577	-0.589731689	-0.150070588	-0.518422231	-0.072671233	0.016158801	0.317100787	0.003575665	0.427671822	-0.036814071	0.456509976	0.216205602	-0.553411235	0.643646337	0.213921321	-0.126184027	-0.088039989	-0.452629688	-0.090814486	0.104287974	-0.339072174	0.030308043	-0.144837238	-0.076744878	0.044318398	-0.093914716	0.198133539	-0.238347671	0.116026817	-0.25910226	0.310997348	0.188038852	0.04277679	-0.18060077	0.025492396	-0.016070877	0.004547848	-0.096409353	-0.147996709	-0.101720787	-0.054582646	-0.147879892	-0.143748413	-0.019256701	0.008424409	-0.037621027	0.022468265	-0.013683792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MilCar9_6B_GG4_01_16267.mzXML	CCA	4.488988757	-6.833403868	3.128089835	1.77763863	-0.100522339	-0.529640098	0.893588541	-0.858983385	2.750929511	-0.620443925	-1.277982006	0.266379122	-1.767214445	-2.76871799	-0.841634486	-1.121162231	1.160390047	-2.000081179	0.820668004	-1.309313197	-1.250213225	-0.442672889	-0.547122745	1.133521822	-1.480781315	1.120028196	0.261250078	-0.993441058	0.862293264	-0.881412485	1.199769132	0.293786232	-0.634631933	1.4538495	-0.248423435	0.734705059	0.818347098	-1.342172543	-1.341323196	-0.532203125	0.799467424	-0.665646087	2.023208743	-0.50850895	-0.383054731	-0.445073916	-0.092854472	-0.263459352	-0.409244812	1.685386051	-0.0156253	0.217983545	0.496796532	0.917913177	-0.569566156	-1.02682352	0.357192795	-0.791570118	-0.991777457	-0.288559042	-0.598591481	0.090391143	0.918785779	-0.835837215	-1.177676027	1.281788917	0.430880479	0.054876444	-0.523187347	-0.419431657	-0.483875654	-0.328439906	0.393502019	-0.048225529	0.240764117	0.043026965	-0.055433068	-0.439967607	-0.205378757	-0.517664984	-0.111938139	0.234331921	-0.151703672	-0.965204297	-0.478194898	-0.30975313	-0.043053903	-0.62351296	-0.238198342	0.423945417	-0.477989955	0.557197776	-0.170560365	-0.186604824	0.101987566	-0.065171861	-0.497806771	0.002642845	-1.000692168	0.697380386	0.107069545	-0.135422601	-0.566668465	-0.01778044	-0.071307814	-0.083574705	-0.694508396	-0.185670768	0.161309601	-0.090009095	0.281662808	-0.735468428	0.324589787	-0.288471815	0.380539134	-0.052479076	-0.009595079	0.270351911	-0.253599287	0.235442312	0.192829174	0.250255213	-0.492094914	-0.077565834	-0.492650613	0.006793142	0.385524258	0.189904956	0.272939782	-0.106421914	-0.04809194	-0.061592918	0.001429637	-0.009573791	0.360955967	-0.147941946	-0.0178063	0.069830084	-0.06979369	0.104005697	-0.0864553	0.117315775	-0.066996059	-0.050505547	-0.00441379	-0.055127984	0.022744007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MilCar9_3D_GF3_01_16187.mzXML	CCA	3.428321943	-6.657130495	2.30525786	0.791146455	2.270141649	-0.874919085	2.512228874	1.674593232	1.793165397	-0.455657515	0.873188588	0.296305046	0.941292895	0.484707775	-0.305029682	-2.216382121	0.678401674	-0.436498905	0.663982267	0.531739363	-0.375370192	1.127484922	0.988658087	-1.176277292	-0.45969381	1.190092128	-1.205088973	0.054641605	1.16080984	1.347861277	0.268602411	0.297247562	-0.086362162	-0.147338928	-0.778690428	0.222802678	-1.004140774	0.483774017	-0.650632288	-0.388534478	-0.039204253	-0.929753406	-0.430105533	-0.617273133	0.911479186	0.393955259	0.301793816	0.110169837	0.25680894	0.286781748	0.783916606	-0.30924386	-0.652738606	0.369099844	0.134850841	-0.186871412	0.570186898	-0.173396081	0.487109166	0.027229623	-0.203975093	1.044587789	-2.105635124	0.531023104	-0.288730011	-1.026052364	1.030174724	-1.494504249	-0.92710869	-0.32063969	0.908315764	-0.620573123	0.490543138	0.814457977	-0.474363564	0.158410566	0.891371924	0.042473174	-0.244051708	-0.012714666	0.927529588	-0.559844179	0.019944036	-1.03219813	-0.56804338	0.045295023	-0.048726564	0.594070917	-0.238607212	-0.78367709	-0.422411542	0.023029372	-0.070874598	-0.219945206	0.059447965	0.223616617	0.53322143	-0.1938397	-0.162748061	-0.628481669	-0.107875738	-0.293279214	0.501797531	0.565388163	-0.225539763	-0.269944182	-0.074141889	-0.8898478	0.539287678	-0.735016556	-0.982558801	-0.029273858	0.049460636	-0.314849624	-0.06650484	-0.399120658	-0.227427616	0.164363765	0.519895978	0.04710077	-0.138639769	-0.184965303	0.064781022	-0.30633979	-0.179528359	-0.084594464	-0.085029498	-0.271997254	0.236710623	0.132688325	-0.319179773	0.16436205	0.006183399	0.054425938	-0.413572408	0.152816026	0.202155654	0.177162484	-0.071732112	0.128088177	-0.275055584	0.16632673	0.148629571	-0.030639604	0.048738465	0.010272519	0.006420104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
